exercise,round,rest
Nhảy khởi động x15,2,30
Side Squat x15,3,120
Lunges x20,3,120
Burpee(Squat to Jump) x10,4,120
Row x15,4,60
ABS:Russian twist x15 (slow),2,30
ABS: Mountant CLimber x15,3,30
ABS:Crunch x20,3,30
