exercise,round,rest
Push-up x20,2,30
"Archer push-up x5
Push-up x10",3,120
Push-up beetween 2 chairs x10,4,120
"Diamond push-up x15
Asymmetric push 10-5-5",4,120
"Pike push-up
Nâng vai giữa 10-5-5",4,120
Leg: Jump squat x20,4,120
